Protein IDs;Majority protein IDs;Peptide counts (all);Peptide counts (razor+unique);Peptide counts (unique);Protein names;Gene names;Fasta headers;Number of proteins;Peptides;Razor + unique peptides;Unique peptides;Peptides AA3672;Peptides AA3710;Peptides AA3715;Peptides AA3864;Peptides AAA00J;Peptides AAA00N;Peptides AAA010;Peptides AAA01R;Peptides AAA022;Peptides AGA002;Peptides AGA02N;Razor + unique peptides AA3672;Razor + unique peptides AA3710;Razor + unique peptides AA3715;Razor + unique peptides AA3864;Razor + unique peptides AAA00J;Razor + unique peptides AAA00N;Razor + unique peptides AAA010;Razor + unique peptides AAA01R;Razor + unique peptides AAA022;Razor + unique peptides AGA002;Razor + unique peptides AGA02N;Unique peptides AA3672;Unique peptides AA3710;Unique peptides AA3715;Unique peptides AA3864;Unique peptides AAA00J;Unique peptides AAA00N;Unique peptides AAA010;Unique peptides AAA01R;Unique peptides AAA022;Unique peptides AGA002;Unique peptides AGA02N;Sequence coverage [%];Unique + razor sequence coverage [%];Unique sequence coverage [%];Mol. weight [kDa];Sequence length;Sequence lengths;Fraction average;Fraction 1;Q-value;Score;Sequence coverage AA3672 [%];Sequence coverage AA3710 [%];Sequence coverage AA3715 [%];Sequence coverage AA3864 [%];Sequence coverage AAA00J [%];Sequence coverage AAA00N [%];Sequence coverage AAA010 [%];Sequence coverage AAA01R [%];Sequence coverage AAA022 [%];Sequence coverage AGA002 [%];Sequence coverage AGA02N [%];Intensity;Intensity AA3672;Intensity AA3710;Intensity AA3715;Intensity AA3864;Intensity AAA00J;Intensity AAA00N;Intensity AAA010;Intensity AAA01R;Intensity AAA022;Intensity AGA002;Intensity AGA02N
Q8NI27;Q8NI27;12;12;12;THO complex subunit 2;THOC2;>sp|Q8NI27|THOC2_HUMAN THO complex subunit 2 OS=Homo sapiens GN=THOC2 PE=1 SV=2;1;12;12;12;4;3;0;6;4;0;1;4;2;0;3;4;3;0;6;4;0;1;4;2;0;3;4;3;0;6;4;0;1;4;2;0;3;8.9;8.9;8.9;182.77;1593;1593;1;27;0;24326;2.4;2.3;0;4.6;3;0;0.8;2.7;1.2;0;2;27001000;2166100;2656600;0;9556900;948990;0;400170;7921500;790350;0;2560400
Q8NI36;Q8NI36;15;15;15;WD repeat-containing protein 36;WDR36;>sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens GN=WDR36 PE=1 SV=1;1;15;15;15;7;3;3;9;9;4;0;9;1;5;2;7;3;3;9;9;4;0;9;1;5;2;7;3;3;9;9;4;0;9;1;5;2;20.5;20.5;20.5;105.32;951;951;1;53;0;73093;11;3.6;4.7;13.4;12.4;5.5;0;12.2;1.5;7.3;2.6;33398000;4047800;2149000;137690;11581000;1036300;691590;0;8727100;77761;3753500;1196800
Q8NI60;Q8NI60;10;10;10;Chaperone activity of bc1 complex-like, mitochondrial;ADCK3;>sp|Q8NI60|ADCK3_HUMAN Atypical kinase ADCK3, mitochondrial OS=Homo sapiens GN=ADCK3 PE=1 SV=1;1;10;10;10;1;0;0;0;5;1;3;4;3;2;3;1;0;0;0;5;1;3;4;3;2;3;1;0;0;0;5;1;3;4;3;2;3;19.9;19.9;19.9;71949;647;647;1;24;0;32454;2.5;0;0;0;9.9;2.5;6.5;8.8;7.1;4;5.6;17054000;1241800;0;0;0;1997500;161600;3836800;2418200;719020;3805500;2873500
Q8TAA9;Q8TAA9;1;1;1;Vang-like protein 1;VANGL1;>sp|Q8TAA9|VANG1_HUMAN Vang-like protein 1 OS=Homo sapiens GN=VANGL1 PE=1 SV=1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.1;3.1;3.1;59974;524;524;1;1;0.0024748;2.7208;3.1;0;0;0;0;0;0;0;0;0;0;55808;55808;0;0;0;0;0;0;0;0;0;0
Q8TAD4;Q8TAD4;1;1;1;Zinc transporter 5;SLC30A5;>sp|Q8TAD4|ZNT5_HUMAN Zinc transporter 5 OS=Homo sapiens GN=SLC30A5 PE=1 SV=1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1.3;1.3;1.3;84046;765;765;1;1;0.0021199;2.8963;0;0;0;0;0;0;0;1.3;0;0;0;98118;0;0;0;0;0;0;0;98118;0;0;0
Q8TAD8;Q8TAD8;1;1;1;Smad nuclear-interacting protein 1;SNIP1;>sp|Q8TAD8|SNIP1_HUMAN Smad nuclear-interacting protein 1 OS=Homo sapiens GN=SNIP1 PE=1 SV=1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;4.8;4.8;4.8;45777;396;396;1;3;0.00099761;3.2873;0;4.8;0;0;0;0;0;4.8;4.8;0;0;463630;0;231870;0;0;0;0;0;96259;135500;0;0
Q8TAE8;Q8TAE8;3;3;3;Growth arrest and DNA damage-inducible proteins-interacting protein 1;GADD45GIP1;>sp|Q8TAE8|G45IP_HUMAN Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1;1;3;3;3;3;0;0;0;1;0;1;0;1;3;1;3;0;0;0;1;0;1;0;1;3;1;3;0;0;0;1;0;1;0;1;3;1;21.2;21.2;21.2;25384;222;222;1;10;0;7.8417;21.2;0;0;0;5;0;5;0;7.2;21.2;9;5028100;1925500;0;0;0;32939;0;111300;0;153550;1922000;882860
Q8TAG9;Q8TAG9;1;1;1;Exocyst complex component 6;EXOC6;>sp|Q8TAG9|EXOC6_HUMAN Exocyst complex component 6 OS=Homo sapiens GN=EXOC6 PE=1 SV=3;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1.4;1.4;1.4;93721;804;804;1;1;0.00081934;3.5743;0;0;0;0;0;0;1.4;0;0;0;0;324550;0;0;0;0;0;0;324550;0;0;0;0
Q8TAQ2;Q8TAQ2;21;21;15;SWI/SNF complex subunit SMARCC2;SMARCC2;>sp|Q8TAQ2|SMRC2_HUMAN SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1;1;21;21;15;12;7;1;7;5;5;6;14;10;3;9;12;7;1;7;5;5;6;14;10;3;9;9;4;0;5;2;4;4;8;6;2;7;19.2;19.2;14.7;132.88;1214;1214;1;94;0;154.03;12.9;8.1;0.9;9.1;4.8;6.2;6.4;14.1;9.2;3.5;8;92526000;16219000;8244000;335390;17063000;1661700;1339300;4009400;23730000;4690700;5110800;10122000
Q8TAT6;Q8TAT6;11;11;11;Nuclear protein localization protein 4 homolog;NPLOC4;>sp|Q8TAT6|NPL4_HUMAN Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3;1;11;11;11;5;4;1;2;3;3;1;5;6;3;3;5;4;1;2;3;3;1;5;6;3;3;5;4;1;2;3;3;1;5;6;3;3;22.5;22.5;22.5;68119;608;608;1;46;0;44022;12.7;7.1;1.2;4.6;6.2;7.6;2.3;8.7;12.5;7.6;5.8;32090000;4357800;3180700;58053;2398900;846160;900860;340470;11031000;2275800;4620300;2080800
Q8TAX9;Q8TAX9;7;7;7;Gasdermin-B;GSDMB;>sp|Q8TAX9|GSDMB_HUMAN Gasdermin-B OS=Homo sapiens GN=GSDMB PE=2 SV=2;1;7;7;7;3;6;0;4;2;0;1;4;1;2;1;3;6;0;4;2;0;1;4;1;2;1;3;6;0;4;2;0;1;4;1;2;1;19.7;19.7;19.7;46786;411;411;1;25;0;41425;11.9;15.3;0;13.1;5.4;0;3.2;13.1;2.4;7.5;2.9;22172000;2756900;5476300;0;3517300;334720;0;554490;5621900;0;3270200;640480
Q8TB22;Q8TB22;1;1;1;Spermatogenesis-associated protein 20;SPATA20;>sp|Q8TB22|SPT20_HUMAN Spermatogenesis-associated protein 20 OS=Homo sapiens GN=SPATA20 PE=2 SV=3;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1.9;1.9;1.9;87898;786;786;1;2;0.0021069;2.8065;0;0;0;1.9;0;0;1.9;0;0;0;0;926400;0;0;0;561920;0;0;364480;0;0;0;0
Q8TB36;Q8TB36;2;2;2;Ganglioside-induced differentiation-associated protein 1;GDAP1;>sp|Q8TB36|GDAP1_HUMAN Ganglioside-induced differentiation-associated protein 1 OS=Homo sapiens GN=GDAP1 PE=1 SV=3;1;2;2;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;2;7.3;7.3;7.3;41345;358;358;1;3;0;7.9717;0;0;0;0;0;0;0;0;0;3.1;7.3;1756800;0;0;0;0;0;0;0;0;0;470610;1286200
Q8TB37;Q8TB37;1;1;1;Iron-sulfur protein NUBPL;NUBPL;>sp|Q8TB37|NUBPL_HUMAN Iron-sulfur protein NUBPL OS=Homo sapiens GN=NUBPL PE=1 SV=3;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;5;5;5;34082;319;319;1;3;0.0015489;2.9565;0;0;5;0;0;0;5;5;0;0;0;1344500;0;0;35824;0;0;0;571000;737630;0;0;0
Q8TB61;Q8TB61;4;4;4;Adenosine 3-phospho 5-phosphosulfate transporter 1;SLC35B2;>sp|Q8TB61|S35B2_HUMAN Adenosine 3-phospho 5-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1;1;4;4;4;2;1;0;3;0;0;2;2;1;0;2;2;1;0;3;0;0;2;2;1;0;2;2;1;0;3;0;0;2;2;1;0;2;9.3;9.3;9.3;47514;432;432;1;14;0;6.5933;4.4;2.5;0;7.4;0;0;5.3;5.3;2.5;0;5.3;10296000;3532100;576120;0;3052200;0;0;378540;1060500;386390;0;1310200
Q8TB96;Q8TB96;4;4;4;T-cell immunomodulatory protein;ITFG1;>sp|Q8TB96|TIP_HUMAN T-cell immunomodulatory protein OS=Homo sapiens GN=ITFG1 PE=1 SV=1;1;4;4;4;0;0;0;1;0;2;2;0;0;0;1;0;0;0;1;0;2;2;0;0;0;1;0;0;0;1;0;2;2;0;0;0;1;7.4;7.4;7.4;68107;612;612;1;7;0;9.1948;0;0;0;2.3;0;5.4;4.6;0;0;0;2;2183900;0;0;0;931140;0;618560;377270;0;0;0;256970
Q8TBA6;Q8TBA6;5;5;5;Golgin subfamily A member 5;GOLGA5;>sp|Q8TBA6|GOGA5_HUMAN Golgin subfamily A member 5 OS=Homo sapiens GN=GOLGA5 PE=1 SV=3;1;5;5;5;0;4;0;1;0;0;0;0;2;0;1;0;4;0;1;0;0;0;0;2;0;1;0;4;0;1;0;0;0;0;2;0;1;8.2;8.2;8.2;83023;731;731;1;8;0;14427;0;8.1;0;1.8;0;0;0;0;1.4;0;1.2;4191900;0;3163400;0;898370;0;0;0;0;130130;0;0
Q8TBC4;Q8TBC4;14;14;14;NEDD8-activating enzyme E1 catalytic subunit;UBA3;>sp|Q8TBC4|UBA3_HUMAN NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens GN=UBA3 PE=1 SV=2;1;14;14;14;7;4;1;5;5;3;3;8;5;3;3;7;4;1;5;5;3;3;8;5;3;3;7;4;1;5;5;3;3;8;5;3;3;44.7;44.7;44.7;51852;463;463;1;52;0;58063;22.5;13.4;3.2;17.5;11.7;7.8;7.8;21;15.1;10.8;8.2;52210000;5341700;2196000;653350;14816000;3024200;1545400;1764500;11626000;3915400;4709100;2619000
Q8TBF2;Q8TBF2;4;4;4;Prostamide/prostaglandin F synthase;FAM213B;>sp|Q8TBF2|PGFS_HUMAN Prostamide/prostaglandin F synthase OS=Homo sapiens GN=FAM213B PE=2 SV=1;1;4;4;4;0;0;0;0;1;0;1;3;2;0;0;0;0;0;0;1;0;1;3;2;0;0;0;0;0;0;1;0;1;3;2;0;0;21.7;21.7;21.7;21222;198;198;1;7;0;6.1713;0;0;0;0;8.1;0;6.6;12.1;13.6;0;0;3596900;0;0;0;0;62453;0;309250;1199400;2025800;0;0
Q8TBP6;Q8TBP6;4;4;4;Solute carrier family 25 member 40;SLC25A40;>sp|Q8TBP6|S2540_HUMAN Solute carrier family 25 member 40 OS=Homo sapiens GN=SLC25A40 PE=2 SV=1;1;4;4;4;0;0;0;0;4;0;1;1;0;0;1;0;0;0;0;4;0;1;1;0;0;1;0;0;0;0;4;0;1;1;0;0;1;16.3;16.3;16.3;38124;338;338;1;8;0;9.2566;0;0;0;0;16.3;0;4.1;4.1;0;0;4.1;2106400;0;0;0;0;1105000;0;245840;518070;0;0;237520
Q8TBQ9;Q8TBQ9;2;2;2;Protein kish-A;TMEM167A;>sp|Q8TBQ9|KISHA_HUMAN Protein kish-A OS=Homo sapiens GN=TMEM167A PE=1 SV=1;1;2;2;2;1;0;1;1;1;0;1;1;2;0;0;1;0;1;1;1;0;1;1;2;0;0;1;0;1;1;1;0;1;1;2;0;0;25;25;25;8.0598;72;72;1;8;0.00021659;4.5266;12.5;0;12.5;12.5;12.5;0;12.5;12.5;25;0;0;7984900;294060;0;59496;4063300;230810;0;775000;1531400;1030800;0;0
Q8TBX8;Q8TBX8;10;10;10;Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma;PIP4K2C;>sp|Q8TBX8|PI42C_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma OS=Homo sapiens GN=PIP4K2C PE=1 SV=3;1;10;10;10;3;6;2;1;2;1;1;4;2;2;4;3;6;2;1;2;1;1;4;2;2;4;3;6;2;1;2;1;1;4;2;2;4;25.9;25.9;25.9;47299;421;421;1;29;0;46638;10;17.1;5.5;3.3;7.4;2.1;4;13.1;5.7;5.9;12.1;19124000;1104400;5216900;148510;1600500;605490;116610;522150;3365500;2218000;1198000;3027500
Q8TC07;Q8TC07;9;9;9;TBC1 domain family member 15;TBC1D15;>sp|Q8TC07|TBC15_HUMAN TBC1 domain family member 15 OS=Homo sapiens GN=TBC1D15 PE=1 SV=2;1;9;9;9;5;4;1;3;7;2;1;7;4;2;4;5;4;1;3;7;2;1;7;4;2;4;5;4;1;3;7;2;1;7;4;2;4;14.9;14.9;14.9;79.49;691;691;1;41;0;46783;8.7;6.5;1.4;5.1;12.3;3.5;2;10.9;6.5;3.3;6.5;24008000;3097800;3581300;26032;4401900;1182700;429100;251880;4388800;1422300;1580900;3645200
Q8TC12;Q8TC12;9;9;9;Retinol dehydrogenase 11;RDH11;>sp|Q8TC12|RDH11_HUMAN Retinol dehydrogenase 11 OS=Homo sapiens GN=RDH11 PE=1 SV=2;1;9;9;9;4;5;1;8;3;4;6;6;4;2;3;4;5;1;8;3;4;6;6;4;2;3;4;5;1;8;3;4;6;6;4;2;3;39.3;39.3;39.3;35386;318;318;1;71;0;65203;18.6;22.3;3.8;34.6;11.6;17;27.4;27;18.6;7.9;12.3;63453000;5126600;5697800;248840;28623000;403000;1535500;5451300;6275400;1551900;4125700;4413300
Q8TC76;Q8TC76;1;1;1;Protein FAM110B;FAM110B;>sp|Q8TC76|F110B_HUMAN Protein FAM110B OS=Homo sapiens GN=FAM110B PE=1 SV=1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;3.5;3.5;3.5;40727;370;370;1;4;1;-2;0;3.5;0;0;3.5;3.5;0;0;3.5;0;0;1255000;0;488700;0;0;151710;425090;0;0;189460;0;0
Q8TCB0;Q8TCB0;2;2;2;Interferon-induced protein 44;IFI44;>sp|Q8TCB0|IFI44_HUMAN Interferon-induced protein 44 OS=Homo sapiens GN=IFI44 PE=2 SV=2;1;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5.4;5.4;5.4;50.49;444;444;1;2;0.0010036;3.3549;0;0;0;0;0;0;0;5.4;0;0;0;380280;0;0;0;0;0;0;0;380280;0;0;0
Q8TCC3;Q8TCC3;2;2;2;39S ribosomal protein L30, mitochondrial;MRPL30;>sp|Q8TCC3|RM30_HUMAN 39S ribosomal protein L30, mitochondrial OS=Homo sapiens GN=MRPL30 PE=1 SV=1;1;2;2;2;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;0;0;1;13;13;13;18546;161;161;1;5;0.0030092;2.5514;6.8;0;0;6.8;0;0;0;6.2;0;0;6.2;822180;52087;0;0;132370;0;0;0;374620;0;0;263100
Q8TCD5;Q8TCD5;6;6;6;5(3)-deoxyribonucleotidase, cytosolic type;NT5C;>sp|Q8TCD5|NT5C_HUMAN 5(3)-deoxyribonucleotidase, cytosolic type OS=Homo sapiens GN=NT5C PE=1 SV=2;1;6;6;6;3;3;2;2;3;1;2;2;4;4;3;3;3;2;2;3;1;2;2;4;4;3;3;3;2;2;3;1;2;2;4;4;3;46.3;46.3;46.3;23382;201;201;1;31;0;21452;30.8;19.9;10.9;10.9;19.9;6.5;10.9;10.9;32.8;32.3;19.9;21710000;1861500;2406900;487630;3415100;709610;201900;991410;1152600;1276200;6361300;2845300
Q8TCF1;Q8TCF1;2;2;2;AN1-type zinc finger protein 1;ZFAND1;>sp|Q8TCF1|ZFAN1_HUMAN AN1-type zinc finger protein 1 OS=Homo sapiens GN=ZFAND1 PE=1 SV=1;1;2;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;7.1;7.1;7.1;30787;268;268;1;2;0.0010085;3.4071;0;0;0;0;3.4;0;0;3.7;0;0;0;684440;0;0;0;0;119620;0;0;564820;0;0;0
Q8TCG1;Q8TCG1;3;3;3;Protein CIP2A;KIAA1524;>sp|Q8TCG1|CIP2A_HUMAN Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2;1;3;3;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;5.2;5.2;5.2;102.18;905;905;1;3;0.00021801;4.6453;0;0;0;0;1.4;0;0;2.2;0;1.5;0;2696700;0;0;0;0;0;0;0;2251800;0;444850;0
Q8TCJ2;Q8TCJ2;10;9;9;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B;STT3B;>sp|Q8TCJ2|STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens GN=STT3B PE=1 SV=1;1;10;9;9;4;7;1;7;6;4;9;8;7;4;3;4;7;1;7;5;4;8;7;7;4;3;4;7;1;7;5;4;8;7;7;4;3;12.7;11.9;11.9;93673;826;826;1;69;0;49494;4.7;8.6;0.8;8.8;6.2;4.7;11.6;10.5;8.8;4.5;3.6;92694000;4617000;13635000;109340;29913000;2451400;2620300;6564600;11399000;5711900;9659300;6013000
Q8TCS8;Q8TCS8;18;18;18;Polyribonucleotide nucleotidyltransferase 1, mitochondrial;PNPT1;>sp|Q8TCS8|PNPT1_HUMAN Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens GN=PNPT1 PE=1 SV=2;1;18;18;18;3;6;1;5;8;1;4;10;8;2;6;3;6;1;5;8;1;4;10;8;2;6;3;6;1;5;8;1;4;10;8;2;6;27.5;27.5;27.5;85.95;783;783;1;63;0;175.99;5.9;9.8;1.3;9.7;10.3;1.8;6.8;14.4;13.8;2.9;8.3;38807000;2347900;3896400;135580;7545000;2414500;145450;2333800;11490000;1902000;2045200;4551100
Q8TCT9;Q8TCT9;6;6;6;Minor histocompatibility antigen H13;HM13;>sp|Q8TCT9|HM13_HUMAN Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1;1;6;6;6;2;5;2;3;2;2;3;5;2;2;3;2;5;2;3;2;2;3;5;2;2;3;2;5;2;3;2;2;3;5;2;2;3;16.4;16.4;16.4;41488;377;377;1;36;0;19397;5.6;16.4;5.6;11.9;4.5;9.5;11.9;14.6;5;5.6;8.2;26877000;863550;7570500;244920;6758100;448010;1200600;1801200;3954200;443590;1800600;1791800
Q8TCY9;Q8TCY9;2;2;2;Up-regulator of cell proliferation;URGCP;>sp|Q8TCY9|URGCP_HUMAN Up-regulator of cell proliferation OS=Homo sapiens GN=URGCP PE=1 SV=2;1;2;2;2;1;0;0;0;1;2;0;0;1;1;1;1;0;0;0;1;2;0;0;1;1;1;1;0;0;0;1;2;0;0;1;1;1;2.6;2.6;2.6;104.99;931;931;1;7;1;-2;1.4;0;0;0;1.4;2.6;0;0;1.4;1.4;1.4;12554000;1074000;0;0;0;1413500;1328500;0;0;2005300;2629700;4102700
Q8TD06;Q8TD06;9;8;8;Anterior gradient protein 3 homolog;AGR3;>sp|Q8TD06|AGR3_HUMAN Anterior gradient protein 3 homolog OS=Homo sapiens GN=AGR3 PE=1 SV=1;1;9;8;8;6;6;1;9;4;4;7;7;3;3;3;5;5;0;8;3;3;6;6;2;2;2;5;5;0;8;3;3;6;6;2;2;2;45.8;39.2;39.2;19171;166;166;1;67;0;104.27;36.1;40.4;6.6;45.8;23.5;28.3;40.4;40.4;19.3;22.3;17.5;122120000;5164000;9376400;0;34804000;10799000;937180;17212000;22483000;935080;6182300;14230000
Q8TD19;Q8TD19;10;10;10;Serine/threonine-protein kinase Nek9;NEK9;>sp|Q8TD19|NEK9_HUMAN Serine/threonine-protein kinase Nek9 OS=Homo sapiens GN=NEK9 PE=1 SV=2;1;10;10;10;3;5;1;7;7;2;2;4;2;5;3;3;5;1;7;7;2;2;4;2;5;3;3;5;1;7;7;2;2;4;2;5;3;12.9;12.9;12.9;107.17;979;979;1;42;0;35936;4.4;6.2;1.1;9.9;8.9;3.1;2.8;5.4;3.2;7.2;4.5;21350000;1424300;2359300;130830;8439200;1069200;328030;779950;2594100;234310;3163000;827590
Q8TD30;Q8TD30;10;10;9;Alanine aminotransferase 2;GPT2;>sp|Q8TD30|ALAT2_HUMAN Alanine aminotransferase 2 OS=Homo sapiens GN=GPT2 PE=1 SV=1;1;10;10;9;0;1;0;0;0;1;0;0;0;10;0;0;1;0;0;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;9;0;26.6;26.6;23.1;57903;523;523;1;15;0;46587;0;3.4;0;0;0;3.4;0;0;0;26.6;0;21590000;0;742740;0;0;0;267200;0;0;0;20580000;0
Q8TD43;Q8TD43;12;12;12;Transient receptor potential cation channel subfamily M member 4;TRPM4;>sp|Q8TD43|TRPM4_HUMAN Transient receptor potential cation channel subfamily M member 4 OS=Homo sapiens GN=TRPM4 PE=1 SV=1;1;12;12;12;0;1;1;10;1;1;4;1;0;1;2;0;1;1;10;1;1;4;1;0;1;2;0;1;1;10;1;1;4;1;0;1;2;15.1;15.1;15.1;134.3;1214;1214;1;25;0;43525;0;1.2;0.9;12.9;0.9;0.9;4.6;0.9;0;0.9;2;21840000;0;624120;67192;15383000;28848;250470;2912500;350950;0;561400;1661700
Q8TD47;Q8TD47;15;5;1;40S ribosomal protein S4, Y isoform 2;RPS4Y2;>sp|Q8TD47|RS4Y2_HUMAN 40S ribosomal protein S4, Y isoform 2 OS=Homo sapiens GN=RPS4Y2 PE=2 SV=3;1;15;5;1;6;10;4;11;10;7;3;11;6;10;9;0;1;1;4;3;1;0;3;1;3;2;0;1;1;0;0;0;0;0;1;0;0;43.3;18.6;6.5;29295;263;263;1;19;0;11613;17.5;30.4;16.7;30.8;27.8;20.2;10.6;30.8;20.9;30;27;53387000;0;11116000;584880;23089000;604200;227770;0;4214400;9448400;2176700;1925800
Q8TD55;Q8TD55;7;7;7;Pleckstrin homology domain-containing family O member 2;PLEKHO2;>sp|Q8TD55|PKHO2_HUMAN Pleckstrin homology domain-containing family O member 2 OS=Homo sapiens GN=PLEKHO2 PE=1 SV=1;1;7;7;7;4;4;1;0;2;3;2;6;5;3;1;4;4;1;0;2;3;2;6;5;3;1;4;4;1;0;2;3;2;6;5;3;1;20.4;20.4;20.4;53349;490;490;1;33;0;28451;14.1;14.5;2;0;7.3;11.4;6.7;18.8;16.5;12.4;4.7;15552000;3037800;2041700;41175;0;301950;1091600;218940;4350700;1285100;3017300;165290
Q8TD94;Q8TD94;1;1;1;Krueppel-like factor 14;KLF14;>sp|Q8TD94|KLF14_HUMAN Krueppel-like factor 14 OS=Homo sapiens GN=KLF14 PE=2 SV=1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8.4;8.4;8.4;33123;323;323;1;1;1;-2;0;0;0;0;0;8.4;0;0;0;0;0;1249300;0;0;0;0;0;1249300;0;0;0;0;0
Q8TDB6;Q8TDB6;19;19;19;E3 ubiquitin-protein ligase DTX3L;DTX3L;>sp|Q8TDB6|DTX3L_HUMAN E3 ubiquitin-protein ligase DTX3L OS=Homo sapiens GN=DTX3L PE=1 SV=1;1;19;19;19;8;14;1;3;2;2;0;14;8;3;2;8;14;1;3;2;2;0;14;8;3;2;8;14;1;3;2;2;0;14;8;3;2;31.5;31.5;31.5;83553;740;740;1;64;0;126.78;14.3;25.7;1.5;6.2;3.9;3.5;0;25.5;14.9;4.5;4.5;46704000;6460800;14306000;508570;2617300;174480;298420;0;15580000;3226400;2577300;954110
Q8TDD1;Q8TDD1;11;11;10;ATP-dependent RNA helicase DDX54;DDX54;>sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens GN=DDX54 PE=1 SV=2;1;11;11;10;4;8;1;2;4;0;0;4;2;3;3;4;8;1;2;4;0;0;4;2;3;3;4;7;1;2;3;0;0;4;2;3;3;18.3;18.3;17.4;98594;881;881;1;32;0;29271;7.5;11.9;2.3;3.4;4.4;0;0;5.3;4.1;6.2;4.7;16787000;1517300;4540200;177010;1422400;137690;0;0;1750600;395640;2973400;3872300
Q8TDH9;Q8TDH9;1;1;1;Biogenesis of lysosome-related organelles complex 1 subunit 5;BLOC1S5;>sp|Q8TDH9|BL1S5_HUMAN Biogenesis of lysosome-related organelles complex 1 subunit 5 OS=Homo sapiens GN=BLOC1S5 PE=1 SV=1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;10.7;10.7;10.7;21609;187;187;1;3;0.00020786;3.7948;10.7;10.7;0;0;0;0;0;0;0;10.7;0;356980;121920;94308;0;0;0;0;0;0;0;140750;0
Q8TDI0;Q8TDI0;12;1;1;Chromodomain-helicase-DNA-binding protein 5;CHD5;>sp|Q8TDI0|CHD5_HUMAN Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=1 SV=1;1;12;1;1;7;7;1;2;5;2;2;7;6;0;6;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7.2;0.4;0.4;223.05;1954;1954;1;1;1;-2;4;3.4;0.7;1.1;2.5;1.6;1.5;3.8;3.8;0;3.2;1385100;0;1385100;0;0;0;0;0;0;0;0;0
